datetime,blockchain,native,canonical,external,tvs,eth_price
2023-05-23,starknet,0.0,55080634.765625,0.0,55080634.765625,1818.2433
2023-05-23,zksync,0.0,12.239999771118164,1497310.21875,1497322.4587497711,1818.2433
2023-05-22,arbitrum,2100486073.75,4282142485.242913,369119196.6354632,6751747755.628376,1805.7197
2023-05-22,optimism,588110324.0,976163803.3049314,24471083.854537964,1588745211.1594694,1805.7197
2023-05-22,starknet,0.0,55122831.515625,0.0,55122831.515625,1805.7197
2023-05-22,zksync,0.0,12.229999542236328,1490610.44140625,1490622.6714057922,1805.7197
2023-05-21,arbitrum,2180409592.625,4316309281.637554,377108696.89942026,6873827571.161974,1818.7996
2023-05-21,optimism,608650272.0,984517474.6512536,24809658.858135223,1617977405.5093887,1818.7996
2023-05-21,starknet,0.0,54483516.0625,0.0,54483516.0625,1818.7996
2023-05-21,zksync,0.0,12.229999542236328,1501755.953125,1501768.1831245422,1818.7996
2023-05-20,arbitrum,2178305745.875,4293912356.893748,378198406.5508997,6850416509.319647,1812.1317
2023-05-20,optimism,602594448.0,981636145.5249912,24828208.25061226,1609058801.7756035,1812.1317
2023-05-20,starknet,0.0,53162172.4375,0.0,53162172.4375,1812.1317
2023-05-20,zksync,0.0,12.239999771118164,1497921.25,1497933.4899997711,1812.1317
2023-05-19,arbitrum,2159437703.0,4306053591.866553,376994019.4915583,6842485314.358111,1802.391
2023-05-19,optimism,629856052.0,980145595.7434566,24459276.765155792,1634460924.5086124,1802.391
2023-05-19,starknet,0.0,53400660.0625,0.0,53400660.0625,1802.391
2023-05-19,zksync,0.0,12.229999542236328,1495888.73828125,1495900.9682807922,1802.391
2023-05-18,arbitrum,2232623724.75,4357673527.124092,381897730.9593774,6972194982.833469,1821.0507
2023-05-18,optimism,646016196.0,980396938.9606676,24759593.60907173,1651172728.569739,1821.0507
2023-05-18,starknet,0.0,52529882.046875,0.0,52529882.046875,1821.0507
2023-05-18,zksync,0.0,12.229999542236328,1503750.9921875,1503763.2221870422,1821.0507
2023-05-17,arbitrum,2187274681.75,4321560847.348256,367877716.6678058,6876713245.766062,1823.663
2023-05-17,optimism,600618884.0,947631255.3373288,24590769.61345291,1572840908.9507816,1823.663
2023-05-17,starknet,0.0,51280181.46875,0.0,51280181.46875,1823.663
2023-05-17,zksync,0.0,12.239999771118164,1502460.6796875,1502472.9196872711,1823.663
2023-05-16,arbitrum,2214305004.75,4318658054.625476,368672658.0732867,6901635717.448763,1820.0448
2023-05-16,optimism,602358732.0,941829786.2671554,24523042.911571503,1568711561.178727,1820.0448
2023-05-16,starknet,0.0,50415455.390625,0.0,50415455.390625,1820.0448
2023-05-16,zksync,0.0,12.25,1495653.2265625,1495665.4765625,1820.0448
2023-05-15,arbitrum,2174043638.375,4280738419.531519,360655182.4150073,6815437240.321527,1800.3922
2023-05-15,optimism,587820212.0,934496064.5685756,24138504.94547653,1546454781.5140522,1800.3922
2023-05-15,starknet,0.0,50679247.0625,0.0,50679247.0625,1800.3922
2023-05-15,zksync,0.0,12.239999771118164,1471506.52734375,1471518.7673435211,1800.3922
2023-05-14,arbitrum,2168028761.75,4290182463.3602943,348788280.6900332,6806999505.800327,1797.1995
2023-05-14,optimism,596887776.0,926984137.2923852,24000440.50202179,1547872353.794407,1797.1995
2023-05-14,starknet,0.0,49014866.734375,0.0,49014866.734375,1797.1995
2023-05-14,zksync,0.0,12.239999771118164,1465233.75390625,1465245.9939060211,1797.1995
2023-05-13,arbitrum,2163305830.875,4310987166.946681,361968433.8050057,6836261431.626687,1807.6295
2023-05-13,optimism,608571696.0,933536868.4472672,24177621.286079407,1566286185.7333467,1807.6295
2023-05-13,starknet,0.0,48437383.859375,0.0,48437383.859375,1807.6295
2023-05-13,zksync,0.0,12.229999542236328,1473740.37109375,1473752.6010932922,1807.6295
2023-05-12,arbitrum,2046781410.25,4306190893.210211,353068423.3075004,6706040726.767712,1798.0719
2023-05-12,optimism,541587672.0,925506477.192874,24590044.57092476,1491684193.7637987,1798.0719
2023-05-12,starknet,0.0,47125257.078125,0.0,47125257.078125,1798.0719
2023-05-12,zksync,0.0,2.2300000190734863,1449252.1640625,1449254.394062519,1798.0719
2023-05-11,arbitrum,2178411596.25,4379934944.267672,390992845.967504,6949339386.485176,1842.8656
2023-05-11,optimism,594475820.0,942520657.8224872,27038362.24892044,1564034840.0714076,1842.8656
2023-05-11,starknet,0.0,46943686.390625,0.0,46943686.390625,1842.8656
2023-05-11,zksync,0.0,2.2300000190734863,1486923.95703125,1486926.187031269,1842.8656
2023-05-10,arbitrum,2068638294.25,4363364260.86178,382742122.4700012,6814744677.581781,1848.0981
2023-05-10,optimism,589245052.0,937003295.4175518,26764673.487487797,1553013020.9050395,1848.0981
2023-05-10,starknet,0.0,47133339.640625,0.0,47133339.640625,1848.0981
2023-05-10,zksync,0.0,2.240000009536743,1489321.015625,1489323.2556250095,1848.0981
2023-05-09,arbitrum,2079048235.25,4370982939.020611,378291131.8600055,6828322306.130616,1849.2886
2023-05-09,optimism,594575224.0,940180645.9714558,26734647.553894043,1561490517.52535,1849.2886
2023-05-09,starknet,0.0,44552441.515625,0.0,44552441.515625,1849.2886
2023-05-09,zksync,0.0,2.240000009536743,1493087.55078125,1493089.7907812595,1849.2886
2023-05-08,arbitrum,2321984602.75,4496095223.677339,429484415.2800034,7247564241.707342,1895.2301
2023-05-08,optimism,654313972.0,969478887.0198736,27259577.407348637,1651052436.4272225,1895.2301
2023-05-08,starknet,0.0,44174633.375,0.0,44174633.375,1895.2301
2023-05-08,zksync,0.0,2.240000009536743,1520680.54296875,1520682.7829687595,1895.2301
2023-05-07,arbitrum,2326787538.5,4503269895.531252,432093883.4824991,7262151317.513751,1900.4106
2023-05-07,optimism,644282360.0,969958464.2307646,27289190.526550293,1641530014.757315,1900.4106
2023-05-07,starknet,0.0,42169186.796875,0.0,42169186.796875,1900.4106
2023-05-07,zksync,0.0,2.240000009536743,1522402.1171875,1522404.3571875095,1900.4106
2023-05-06,arbitrum,2512890255.0,4655143265.28207,480054954.835002,7648088475.117072,1993.6129
2023-05-06,optimism,681185628.0,995496361.5708616,28216164.20452881,1704898153.7753904,1993.6129
2023-05-06,starknet,0.0,42935572.484375,0.0,42935572.484375,1993.6129
2023-05-06,zksync,0.0,2.240000009536743,1552156.84765625,1552159.0876562595,1993.6129
2023-05-05,arbitrum,2428632676.5,4496424872.468105,450000158.8224964,7375057707.790602,1878.1927
2023-05-05,optimism,694432212.0,998161507.5948856,26362237.431549072,1718955957.026435,1878.1927
2023-05-05,starknet,0.0,40556489.4375,0.0,40556489.4375,1878.1927
2023-05-05,zksync,0.0,2.240000009536743,1522249.9453125,1522252.1853125095,1878.1927
2023-05-04,arbitrum,2465596492.0,4514906735.241095,439243100.0349994,7419746327.276094,1903.7283
2023-05-04,optimism,735275336.0,1010978187.4789448,24762063.29547119,1771015586.774416,1903.7283
2023-05-04,starknet,0.0,40972638.171875,0.0,40972638.171875,1903.7283
2023-05-04,zksync,0.0,2.240000009536743,1538810.13671875,1538812.3767187595,1903.7283
2023-05-03,arbitrum,2482375680.5,4473185272.836648,436066511.9900012,7391627465.326649,1870.8286
2023-05-03,optimism,736366744.0,1000697833.5339516,24444832.15765381,1761509409.691605,1870.8286
2023-05-03,starknet,0.0,39819121.90625,0.0,39819121.90625,1870.8286
2023-05-03,zksync,0.0,1.2400000095367432,1527842.67578125,1527843.9157812595,1870.8286
2023-05-02,arbitrum,2441020084.75,4445610097.229162,420367798.45999575,7306997980.439157,1832.7258
2023-05-02,optimism,711775456.0,988233047.2247652,24250805.844207764,1724259309.0689728,1832.7258
2023-05-02,starknet,0.0,38833587.59375,0.0,38833587.59375,1832.7258
2023-05-02,zksync,0.0,1.2400000095367432,1515540.98046875,1515542.2204687595,1832.7258
